,keywords
tt1796960,"bipolar-disorder,terrorist,torture,terrorism,marine,muslim,mental-disorder,based-on-israeli-tv-series,prisoner,al-qaeda,marine-sergeant,counter-terrorism,suspect,war-hero,prisoner-of-war,psychosis,anti-depressant,lithium,israel,medal,presumed-dead,adultery,paranoia,interrogation,surveillance,military,teenage-girl,politics,langley-virginia,war-trauma,iraq,feminism,one-word-series-title,remake,female-protagonist,reference-to-daesh,islamic-extremist,man-wears-eyeglasses,political-drama,suspense-mystery,police-procedural-crime,21st-century,barefoot-female,hairy-chest,adulterous-husband,central-intelligence-agency-agent,central-intelligence-agency,pill,held-hostage,sergeant,infidelity,extramarital-affair,vice-president,multicultural,animal-death,photograph,sister-sister-relationship,old-flame,coworker-coworker-relationship,husband-wife-relationship,secret,protocol,pakistan,political-thriller,british-actor-playing-american-character,american-flag,mother-daughter-relationship,mother-son-relationship,father-son-relationship,father-daughter-relationship,headquarters,political-propaganda,iran,military-uniform,espionage,washington-d.c.,female-rear-nudity,lesbian-interest,lesbian,bare-chested-male,operation,boy"
tt3581920,"based-on-video-game,post-apocalypse,pandemic,violence,zombie,survivor,gunfight,gun-violence,fungal-infection,fungal-epidemic,parasite,immunity,lgbt,bloody-violence,homosexual-character,survival-horror,female-nudity,female-full-frontal-nudity,weapon,infection,hand-to-hand-combat,gore,zombie-violence,dystopian-sci-fi,dystopia,dark-future,scene-before-opening-credits,teenage-daughter,global-pandemic,brother-brother-relationship,military-dictatorship,vigilante-justice,federal-emergency-management-agency,survival-drama,f-word,profanity,obscene-finger-gesture,14-year-old-girl,56-year-old-man,lesbian,four-word-title,killer,serial-killer,female-frontal-nudity,plague,murder,brutality,blood"
tt0877057,"battle-of-wits,anti-hero,child-prodigy,secret-identity,moral-dilemma,apple,arrogance,criminal,erased-memory,eyes,father-son-relationship,perfectionist,playing-god,supernatural-power,death-in-series-title,vigilante,bus,police-chief,danger,fbi-agent,flashback,hit-by-a-car,investigation,manipulation,memory,moral-ambiguity,potato-chip,prison-cell,room,student,surveillance,tv-news,live-tv,deception,fear,god-of-death,hidden-identity,justice,kanto-region,male-protagonist,neo-noir,poetic-justice,police-investigation,psychological-manipulation,revelation,self-justice,sudden-death,suspicion,urban-setting,vigilante-justice,villain-as-protagonist,shounen,fbi-federal-bureau-of-investigation,deity,police-procedural-crime,2000s,21st-century,female-rear-nudity,female-nudity,shower,brief-female-full-rear-nudity,mature-animation,2d-animation,adult-animation,traditional-animation,serial-killer,police-detective,light-yagami-character,writing-in-a-notebook,two-word-title,psycho,serial-killer-as-protagonist,for-grown-ups-animation,anime-animation,detective,magical-realism,confrontation,intelligence,conspiracy,heart-attack,death,police,serial-murder,note,japan,shinigami,based-on-manga"
tt4052886,"devil,female-police-detective,fallen-angel,the-devil,lapd,immortality,dc-comics,lgbt,nightclub-owner,based-on-comic-book,detective,female-detective,supernatural-power,lucifer,male-protagonist,police,good-versus-evil,police-procedural,murder-investigation,homicide-detective,los-angeles-california,vertigo-comics,police-detective,male-lead,love,nitrile-gloves,dark-fantasy,supernatural-drama,police-procedural-crime,2010s,2020s,21st-century,lesbian,lesbian-character,supernatural-fantasy,police-consultant,celestial-fantasy,demonic,urban-fantasy,urban-setting,one-word-series-title,character-name-as-series-title,psychotronic-series,lucifer-morningstar-character,lucifer-character,love-at-first-sight,love-triangle,lover,forename-as-title,based-on-comic,villain,power,hell,occult-detective,murder,telepathy,character-name-in-title"
tt9140554,"marvel-cinematic-universe,marvel-comics,based-on-comic,based-on-comic-book,norse-mythology,loki,shared-universe,time-travel,multiverse,loki-character,norse-god,magic,male-time-traveler,superhero-action,marvel,character-name-as-series-title,spin-off,god,god-of-mischief,supervillain,superhero,villain-as-protagonist,antagonist-as-protagonist,time-traveler,prequel,sequel,prequel-and-sequel,psychotronic-series,surrealism,norse,security-guard,male-security-guard,female-security-guard,tactical-uniform,black-uniform,woman-wears-a-uniform,uniform,2010s,21st-century,superhero-fantasy,time-travel-sci-fi,epic-adventure,superhero-adventure,surrealist,supernatural-fantasy,villain,space,guard,disney-plus,disney-marvel,superhero-sci-fi,antihero,male-protagonist,web-series,male-female-relationship,character-name-in-title"
tt1405406,"vampire,high-school,immortality,doppelganger,supernatural-power,werewolf,teen-romance,based-on-book,witch,female-protagonist,psychotronic-series,the-cw,teenage-girl-as-protagonist,teenage-protagonist,teen-drama,supernatural-drama,teen-fantasy,supernatural-fantasy,19th-century,2000s,2010s,21st-century,vampire-horror,steamy-romance,teen-horror,vampire-versus-werewolf,lycanthrope,vampire-werewolf-hybrid,1860s,virginia,teenager,brother-brother-relationship,kiss,interspecies-friendship,friendship-between-girls,american-civil-war,year-1864,belt-splitting,heart-ripped-out,love-triangle,vampirism,vampire-human-relationship,vampire-human-love,teen-angst,orphan,lesbian,southern-gothic"
tt0098904,"new-york-yankees,dating,based-on-standup-comedy,wisecrack-humor,eccentricity,actor-plays-himself,jewish-humor,new-york-city,everyday-life,stand-up-comedian,neurotic,goofball,neighbor,friendship,apartment,series-title-spoken-by-character,balding-man,narcissism,observational-comedy,monologue,joke,manhattan-new-york-city,selfishness,actor-shares-last-name-with-character,diner,comedy-of-manners,domineering-mother,stand-up-comedy,book-publishing,upper-west-side-manhattan-new-york-city,ensemble-cast,actor-shares-first-name-with-character,character-name-as-series-title,sitcom,laugh-track,1990s,20th-century,jewish,cult-tv,character-name-as-title,sitcom-comedy,parody-comedy,live-audience"
tt2467372,"police,new-york-city,police-detective,police-captain,gay-cop,gay-character,gay-african-american,latina-cop,foodie,ensemble-cast,man-child,overachiever,administrator,plain-clothes-police-officer,break-room,mentor,boss-employee-relationship,best-friend,male-male-friendship,tough-female,cold-open,sitcom,office-romance,father-figure,bullpen,holding-cell,roof,evidence-locker,suspenders,sensitive-male,taking-credit-for-another's-work,briefing-room,cop-comedy,interrogation-room,vulture,female-cop,detective,law-enforcement-satire,satire,criminal,arrest,police-precinct,solving-crime,case,investigation,new-york,brooklyn-new-york-city,black-cop,slob,yogurt,leather-jacket,bar,coworker-coworker-relationship,borough-name-in-series-title,number-in-series-title,punctuation-in-series-title,male-commanding-officer,curse,male-lead,white-male-lead-in-a-diverse-cast,male-female-cop-partnership,male-police-officer,female-police-officer,police-officer,criminal-investigation,police-procedural-crime,2010s,21st-century,2020s,gay,bisexual,bisexual-woman,lgbt,workplace-comedy,workplace,gay-policeman,sitcom-comedy,satire-comedy,locker,mouse,throwing-a-cell-phone,dropping-a-cellphone-in-a-toilet,rabbit's-foot,bad-luck,unlucky,paperwork,fraud"
tt0417299,"fire,water,action-girl,coming-of-age,spirit,strong-female-character,good-versus-evil,flying-animal,four-elements,child-hero,anime-inspired,avatar,hero,cryogenic-suspension,shared-universe,chase,magic,villain,psychotronic-series,baldness,fight,lemur,male-protagonist,child-protagonist,genocide,katara-character,quest-adventure,martial-arts-action,2d-animation,tribe,martial-arts,female-warrior,action-hero,superhero,christ-allegory,child-fighting-adult,abusive-father,death-of-loved-one,redemption,friendship,family-relationships,faith,teenage-boy,warrior,bison,supernatural-power,earth,honor,2000s,brother-sister-relationship,training,barrel,an-aesop,aang-character,prince-zuko-character,toph-beifong-character,arrogance,firelord-ozai-character,iroh-character,scar,actor-voicing-multiple-characters,flashback,supernatural-fantasy,blind-girl,cult-tv,stylized-violence,fictional-war,kingdom,quest,journey,battle,combat,chosen-one,little-boy,general,princess,ice,action-heroine,tough-girl,female-fighter,destiny,army,soldier,mysticism,new-age,creature,hope,heroism,superhero-action,superhero-fantasy,boy,cartoon-violence,violence,sword-and-sorcery,super-villain,bald-hero,monk,anti-hero,psychic-child,child-soldier,child-abuse,alternate-timeline,surrealism"
tt7631058,"middle-earth,ring,sword,bow-and-arrow,castle,fight,armor,axe,town,hobbit,based-on-film,journey,village,kingdom,weapon,master,prequel,enemy,power,magic,based-on-novel,high-fantasy,good-versus-evil,lord-of-the-rings,epic-fantasy,epic-adventure,exploration,sword-and-sorcery-fantasy,prequel-to-tv-series,epic-drama,woke-trash,female-warrior,female-lead,nine-word-title,psychotronic-series,strong-female-lead"
tt1844624,"anthology,serial-killer,infidelity,serial-murder,homophobia,coven,apocalypse,hotel,insane-asylum,roanoke,witch,ghost,haunted-house,seasonal-anthology-series,murder,vampire,ensemble-cast,death,carnival,freakshow,female-nudity,sex-scene,menage-a-trois,psychotronic-series,camp,campy,grindhouse-series,returning-actor-with-different-character,three-word-title,psychopath,cult,asylum,alien,nymphomaniac,racist,mass-shooting,coven-of-witches,gay,homosexual,racism,torture,found-footage,freak,disabled,circus,filmmaking,freak-show,writer,screenwriter,transgender,lgbt,lgbtq,filmmaker,mockumentary,actor,acting,clown,slasher,politics,post-apocalypse,antichrist,1984,summer-camp,supernatural-drama,supernatural-horror,supernatural-thriller,1980s,contemporary,lesbian,non-horror-host,usa-non-horror-host,slasher-horror,psychological-horror,splatter-horror,hollywood-california,north-carolina,female-vampire,blood,lynchian,year-1952,florida,year-2013,year-1964,year-2011,disfigurement,new-orleans-louisiana,massachusetts,los-angeles-california"
tt5071412,"drug-cartel,missouri,mexico,financial-advisor,money-laundering,teenage-boy,teenage-girl,ozarks,money-launderer,cheating-wife,chicago-illinois,adulterous-wife,unfaithful-wife,sex-with-friend's-wife,doggystyle-sex,woman,middle-aged-woman,husband-watches-wife-have-sex,extramarital-affair,husband-watches-wife's-cheating-over-a-sex-tape,ozark-mountains,family-relationships,location-in-title,money,drug,operation,mafia,criminal,organized-crime,epic-drama,domestic-drama,2010s,2020s,21st-century,investigation,partner,gun,husband-wife-relationship"
tt11198330,"kingdom,dragon,prince,queen,king,prequel,knight,sword,epic-fantasy,dysfunctional-family,castle,female-full-frontal-nudity,legend,spin-off,element,sword-and-sorcery-fantasy,animal-cruelty,killing-an-animal,game-of-thrones,westeros,bloody-violence,throne-wars,female-pubic-hair,female-full-rear-nudity,uncle-niece-incest,brother-brother-relationship,dysfunctional-marriage,naked-female-breasts,hunting,father-daughter-relationship,rebellious-teenage-daughter,outdoor-sex,sexually-dissatisfied-wife,uncle-niece-sex,sex-with-niece,sex-with-uncle,arranged-marriage,male-cousin-female-cousin-marriage,male-cousin-female-cousin-incest,open-marriage,gay-husband,open-marriage-agreement,princess,stepmother-stepdaughter-relationship,wife-pregnant-by-lover,based-on-novel"
tt0413573,"surgeon,hospital,lesbian,work-romance,surgery,female-physician,bisexual-doctor,lesbian-doctor,sex-at-work,operating-room,husband-wife-relationship,alcoholism,self-narration,bisexual,medical,female-protagonist,2010s,2000s,death,human-anatomy,relationship-conflict,plastic-surgeon,patient,nurse,neurosurgeon,medical-intern,medical-drama,loss,doctor-patient-relationship,colleague-colleague-relationship,chief-of-surgery,cardiologist,interracial-romance,doctor,bar,adultery,hospital-patient,apostrophe-in-series-title,surname-in-series-title,white-female-lead-in-a-diverse-cast,female-surgeon,asian-woman,korean-woman,surgeon-mask,surgical-scrubs,surgical-cap,woman-surgeon,dog,feel-good-romance,steamy-romance,character-surname-in-series-title,nurse-practioner,detective,serial-killer,white-coater,intern,latex-gloves,soap-opera,medical-scrubs,medical-mask,roommate,vital-signs,magnetic-resonance-imaging,medical-treatment,hospital-care,emergency-room,coworker-coworker-relationship,punctuation-in-title,seattle-washington,sexual-preference"
tt0367279,"dysfunctional-family,amateur-magician,failed-actor,blue-man,orange-county-california,black-comedy,family-relationships,destroying-evidence,older-woman-younger-man-relationship,bad-parenting,homosexual-subtext,mockumentary,voice-over-narration,father-son-relationship,crooked-businessman,magician,2000s,2010s,man-wears-eyeglasses,male-protagonist,20th-television,deceased-wife,gay-innuendo,pretending-to-be-gay,bare-chested-male,sitcom-comedy,prison,interracial-adoption,adoption,scheme,lawyer,attorney,hospital,fake-coma,stupidity,incestuous-desire,tragedy-turned-into-comedy,absurdism,court,adulterous-husband,jail,prosthetic-hand,hook-for-a-hand,straight-man,dead-wife,alcoholic,domineering-mother,womanizer,cult-tv,bald-man,deadbeat-dad,narcissism,self-loathing,low-self-esteem,incest,blonde-stereotype,illusion,handheld-camera,fake-documentary,uncle,self-referential,identical-twins,brother-sister-relationship,sitcom,spoiled-child,single-father,sibling-rivalry,investment-scandal,cousin-cousin-relationship,title-spoken-by-character,sexual-humor"
tt2372162,"prison-gang,prison-life,prison-corruption,american-prison,violence,lesbian-interest,women-in-prison,girlfriend-girlfriend-relationship,prison,narcotic-abuse,authority,prison-food,russian,prison-sentence,lesbophobia,poverty,racial-issues,homophobia,suicide,lesbian-relationship,female-nudity,lesbian,prisoner,women's-prison,narcotic,prison-fee,mental-illness,new-york-prison,ebt-fraud,police-brutality,betrayal,drug-dealing,tattooed-woman,bigotry,murder,flirting,misogyny,drug-addict,prison-library,blood,chapel,first-lesbian-experience,memoirs,money-laundering,drug-smuggling,heterophobia,female-full-frontal-nudity,claim-in-title,obesity,sexism,perversion,transgender,bisexual,lesbian-sex,masturbation,striptease,female-protagonist,lesbianism,bisexuality,incarceration,inmate,litchfield-new-york,color-in-title,five-word-title,white-female-lead-in-a-diverse-cast,transgender-woman,prison-drama,tragedy-drama,subtitled-scene,female-female-relationship,strong-female-lead,bisexual-female-protagonist,bisexual-woman,female-male-relationship,lesbian-affair,trans,trans-woman,bare-chested-male,hairy-chest,hairy-chested-male,pubic-hair,sex-scene,blond-woman,lesbian-character,kiss,lgbtq-series,lgbt,lgbt-character,web-series,former-nun,prescription-drug-abuse,hunger,beating,female-female-kiss,unjust-incarceration,lesbian-cunnilingus,female-rear-nudity,female-frontal-nudity,sex-in-a-shower"
tt1124373,"motorcycle,biker,gun-running,porn-actress,irish-mob,fictional-town,street-gang,arms-trafficking,stepfather-stepson-relationship,police-corruption,doctor,vietnam-war-veteran,male-protagonist,outlaw-biker,outlaw-motorcycle-gang,motorcycle-club,gunrunning,gang,gangster,organized-crime,motorcycle-club-vest,motorcycle-club-jacket,biker-culture,clubhouse,motorcyclist,gangsterism,gang-violence,gangland,gangland-crime,harley-davidson-motorcycle,rival-gang,rival-gangster,rival-gang-member,underworld,criminal-underworld,president-biker,vice-president-biker,secretary-biker,treasurer-biker,road-captain-biker,sergeant-at-arms-biker,bearded-biker,clean-shaven-biker,long-haired-biker,short-haired-biker,gangster-crime,21st-century,cigarette,biker-gang,beard,bearded-man,moral-dilemma,machismo,cult-tv,2000s,2010s,neo-noir,rock-music,british-actor-playing-american-character,violence,shooting,cigarette-smoking,fight,american-flag,blood-spatter,stabbing,beating,murder,blood,tattoo,skinhead,aryan-brotherhood,prison,mexican-gang,biker-bar,gang-war,drug-trafficking,auto-shop,gang-leader,chinese-mafia,california,husband-wife-relationship,one-percenter,title-appears-in-writing,motorcycle-gang,mother-son-relationship,bare-chested-male,mexican-american,title-at-the-end,irish-republican-army"
tt5290382,"prison,interview,police,police-investigation,murder,psychology,fbi-agent,psychopath,rapist,web-series,pantyhose,lesbian,profiler,fbi-profiler,charles-manson,serial-killer,serial-child-murderer,son-of-sam,btk-killer,sociopath,panic-attack,psychological-profile,fbi-federal-bureau-of-investigation,psychological-drama,1970s,serial-killer-crime,cop-drama,psychological-thriller,friendship,infidelity,sex-scene,cheating-girlfriend,police-procedural-crime,lesbian-character,male-protagonist,lgbt-character,lgbt"
tt1837492,"suicide,based-on-novel,depression,voice-over-narration,death-by-suicide,audio-cassette,mental-illness,flashback,death-of-loved-one,loss-of-daughter,death-of-daughter,older-actors-younger-roles,suicide-note,loss-of-friend,high-school,vito-russo-test-passed,multiple-points-of-view,fantasy-sequence,dead-best-friend,unrequited-love,school-photographer,sexual-assault-survivor,number-in-episode-title,gay-character,gay-interest,gay-guy,web-series,dead-girl,death-of-girlfriend,schoolteacher,loss-of-girlfriend,sadness,school-counselor,teen-drama,timeframe-2010s,timeframe-21st-century,suspense-mystery,teenager,gay,mustang,troubled-teen,teenage-girl,self-harm,suicide-of-friend,helicopter-parents,narrative,teenage-boy,number-in-series-title,death-of-friend"
tt14392248,"upsc,ias-aspirant,friendship,competitive-exam"
tt13443470,"anti-heroine,goth-girl,gothic,dark-fantasy,addams-family,macabre,academy,dark-comedy,reference-to-wednesday-addams,friendship,teen-agers-series,boarding-school,femme-fatale,addams-family-characters,wednesday-addams-character,solving-a-mystery,teenage-girl,severed-hand,sentient-hand,sentient-severed-hand,crawling-hand,high-school,teenager,outcast,new-england,private-academy,headmistress,principal,based-on-comic-strip,braids,school-uniform,roommate-roommate-relationship,dormitory,psychic-ability,supernatural-ability,social-outcast,investigation,voice-over-narration,deadpan,year-2022,2020s,amateur-sleuth,antisocial-protagonist,adolescence,vermont,werewolf,siren-the-creature,psychic,mentions-the-patriarchy,coming-of-age"
tt7767422,"gay-best-friend,gay,gay-teenager,mother-son-relationship,sex-therapy,sexual-humor,black-best-friend,sex-comedy,student-athlete,teenage-boy,teenage-girl,smoking-marijuana,teenage-sex,sex-clinic,sex-education,spoiled-rich-kid,coming-of-age,interracial-romance,black-girl,single-mother,mean-kid,unrequited-love,school-principal,teenage-romance,teenage-girl-lives-alone,high-school,friend,teen-comedy,cringe-comedy,teen-drama,coming-of-age-drama,2010s,2020s,21st-century,raunchy-comedy,male-protagonist,web-series,simulated-sex,school-bully,female-sex-therapist,interracial-friendship,father-son-relationship,trailer-park,vito-russo-test-passed"
tt1439629,"community-college,study-group,friendship,sitcom,spanish-class,christian-stereotype,dean,parody,lawyer,male-protagonist,white-male-lead-in-a-diverse-cast,2010s,sitcom-comedy,college,colorado,unlikely-friendship,sarcasm,slacker,friend,satire,joke,educational-institution,vocational-education,black-comedy,columbia-tristar,monkey,21st-century,satire-comedy,parody-comedy,gay,one-word-title,cinephile,stand-up-comedian,comedian,social-satire,university,man-wears-eyeglasses,dating,teenage-boy,teenage-girl"
tt0303461,"future,outer-space,single-season-tv-series,one-word-series-title,neo-western,wit,cult-tv,space-western,the-future,captain,psychic,spacecraft,preacher,doctor,fugitive,smuggling,cargo,starship-captain,prostitute,psychic-power,mandarin,space-opera,space-colony,mysterious-past,wisecrack-humor,warrior-woman,spaceship,space-travel,anti-hero,interracial-marriage,husband-wife-relationship,brother-sister-relationship,male-protagonist,interracial-couple,older-brother-younger-sister-relationship,male-soldier,white-male-lead-in-a-diverse-cast,space-adventure,space-sci-fi,space-opera-sci-fi,rifle,allusion-to-past-events,psychotronic-series,war-veteran,supernatural-power,tough-guy,warrior,soldier,action-heroine,anti-heroine,tough-girl,female-warrior,female-fighter,good-versus-evil,26th-century,mechanic,smuggler,mercenary,male-physician,physician,human-in-outer-space,siblings-living-together,one-world-government,space-smuggler,starship-pilot,starship,camaraderie,friendship,pistol,interracial-relationship,infirmary,action-hero,interracial-friendship,female-soldier,spaceport,ex-soldier,spaceship-pilot,mythology,comic-relief,space-shuttle,unrequited-love"
tt7335184,"stalker,obsessive-love,bookstore,fatal-attraction,psychological-thriller,obsession,voyeur,obsessed-love,writer,infidelity,cheating-girlfriend,sex-scene,murder,serial-murder,serial-killer,secret,psychological-drama,dark-romance,based-on-novel,new-york-city,social-media,life,serial-killer-as-protagonist,love,female-nudity,friendship,created-by-greg-berlanti,los-angeles-california,manager,lifetime,21st-century"
tt0369179,"gender-in-title,male-protagonist,laugh-track,sibling-rivalry,pervert,sitcom-comedy,21st-century,parody-comedy,jingle,chiropractor,beach-house,boy,wealth,scolding,rascal,siblings-living-together,female-female-kiss,death-of-brother,slacker,roommate,malibu-california,friendship-between-men,goofball,adolescent-humor,cleaning-lady,alcoholism,alcoholic,self-centeredness,teasing,pianist,narcissism,grandmother-grandson-relationship,dysfunctional-family,father-son-relationship,mother-son-relationship,divorcee,promiscuous-man,immaturity,brother-brother-relationship,fraction-in-title,gay-innuendo,adult-humor,sexual-humor,hedonism,child-psychologist,anti-depressant,number-in-title"
tt1266020,"mockumentary,political-satire,indiana,feminism,absurd-comedy,social-commentary,satire,friendship,politics,female-protagonist,employment,small-town,absurdism,workplace-relationship,workplace,employer-employee-relationship,office,fake-documentary,looking-at-the-camera,mock-documentary,park,office-romance,sitcom-comedy,2000s,2010s,21st-century,satire-comedy,comic-relief,situation-comedy,workplace-comedy,white-female-lead-in-a-diverse-cast,mockumentary-comedy,government,conservative,interview,election,kiss,money,politician,upright-citizens-brigade,breaking-the-fourth-wall,job,awkward-silence,joke"
tt0285403,"bromance,2000s,hospital,california,male-bonding,marriage,medicine,medical-drama,21st-century,voice-over-narration,workplace-comedy,workplace,nurse-practioner,sitcom-comedy,one-word-title,surrealism,black-doctor,friendship,dominant-woman,friendship-between-men,friendship-between-girls,husband-wife-relationship,internal-monologue,interracial-relationship,medical,on-off-relationship,tragicomedy,medical-intern,death-of-family-member,returning-character-killed-off,male-female-relationship,narrator,2010s,teaching-hospital,friend,mentor,doctor,egotist,supervisor,drunkenness,metrosexual,roommate,scrubs,interracial-friendship,male-pride,vanity,unseen-character,sexual-harassment,pregnancy,operation,lawyer,homosexual-subtext,dysfunctional-relationship,archenemy,cult-tv,surgeon,handheld-camera,nurse,daydream,fantasy-sequence,janitor,sitcom,title-spoken-by-character,male-protagonist,white-male-lead-in-a-diverse-cast,nameless-character"
tt2243973,"cannibalism,homoeroticism,psychiatrist,blood,manipulation,criminal-profiler,violence,killer-vs-killer,serial-killer,murder-investigation,murder,mental-health,cannibal,serial-murder,psychoanalysis,mutilation,giftedness,hannibal-lecter,mysterious-death,death,criminal-investigation,sadism,brutality,psychiatry,psychopath,based-on-novel,title-spoken-by-character,character-name-as-series-title,psychoanalyst,psychological-profile,fbi-investigation,police-investigation,personality-disorder,autism-spectrum,asperger's-syndrome,fbi-federal-bureau-of-investigation,lesbian-sex,psychopathy,blood-splatter,scene-before-opening-credits,corpse,female-journalist,fbi-agent,gore,maniac,psycho-killer,doctor,female-agent,prequel,borderline-personality-disorder,psychological-horror,psychological-thriller,2010s,21st-century,splatter-horror,slasher-horror,gritty,short-lived-tv,true-crime,psychiatric-patient,man-wears-eyeglasses,female-nudity,female-frontal-nudity,female-full-frontal-nudity,based-on-film,one-word-series-title,based-on-true-story"
tt2661044,"post-apocalypse,planet-earth,survival,friendship,outer-space,nuclear-war,based-on-book,female-protagonist,space-station,number-in-series-title,camp,murder,love,mutation,digit-in-series-title,dystopian-sci-fi,suspense-mystery,after-2050,space-opera-sci-fi,artificial-intelligence-sci-fi,community-drama,community-conflict,colony-sci-fi,young-adult-dystopian,tribal,conspiracy,teenager-in-jeopardy,deception"
tt2741602,"profiler,government-agent,agent,escape,interrogation,destruction,machine-gun,bomb,shot-to-death,shooting,gun,homicide,secret-conspirator,secret-file,secret-parent,hidden-secret,government-secret,secret-operation,fbi-informant,secret-order,man-wears-eyeglasses,washington-d.c.,columbia-tristar,female-profiler,fbi-profiler,fbi-federal-bureau-of-investigation,cia-central-intelligence-agency,male-protagonist,male-police-officer,female-police-officer,organized-crime,2010s,21st-century,suspense-mystery,criminal,hat,information,cell-phone,revelation,camera,blood,jeopardy,terrorism,secret-place,secret-group,secret-paper,secret-friend,secret-location,secret-spot,secret-name,secret-briefcase,secret-alliance,secret-cooperation,secret-transmitter,friend,friendship,secret-promise,secret-friendship,secret-list,secret-message,secret-meeting,secret-document,secret-plan,secret-code,secret-revealed,secret-past,secret-mission,secret-service,strategic-information,classified-information,informant,mysterious-death,murder-investigation,intelligence,spying,espionage,top-secret,ambiguous-person,assassin,dangerous-investigation,secret-stolen,information-exposed,secret-exposed,information-stolen,hacking,hacker,state-secret,criminal-profiler,criminal-profile,profile,personal-information,secret-identity,criminal-investigation,secret-information,secret-investigation,investigation,dangerous-mission,irony,sarcasm,bodyguard,weapon,dark-secret,dark-past,secret,computer,female-spy,spy,mission,violence,death,murder,cia-agent,secret-agent,female-agent,fbi-agent,series-title-spoken-by-character,black-comedy,surprise,video-camera,password,telephone-call,telephone,running,peril,argument,cruelty,secret-hideaway,mysterious-killer,mysterious-spy,mysterious-person"
tt1312171,"alternate-history,based-on-comic-book,superhero,dark-horse-comics,based-on-comic,time-travel,children,apocalypse,universe,superhero-action,time-traveler,male-time-traveler,academy,year-1989,teenager,member,weapon,power,university,group,reactivated,gun,child,hero,villain,fight,funeral,heroine,superhero-adventure,superhero-fantasy,supernatural-fantasy,superhero-sci-fi,2010s,21st-century,1960s,20th-century,time-travel-sci-fi,1980s,web-series,female-nudity,woman-fights-nude,gay,gay-brother,adoptive-brother-adoptive-sister-relationship,adoptive-brother-adopted-brother-relationship,adoptive-sister-adoptive-sister-relationship,black-comedy,superheroine"
tt0844441,"human-vampire-relationship,vampire,witch,shapeshifter,fairy,werewolf,blood,female-nudity,sex-scene,sheriff,deputy,small-town,vampire-queen,drinking-blood,drinking,death-of-parents,loss-of-parents,orphan,silver,chain,bar,diner,bartender,dog,woods,transformation,panther,black-panther,redneck,rural-setting,flashback,seance,spirit,warlock,ghost,love-triangle,waitress,louisiana,church,club,southern,medium,synthetic-blood,breasts,gay,vampire-teeth,fangs,vampire-human-coexistence,addiction,alcoholic,violence,gay-relationship,unrequited-love,vampire-sex,prejudice,vampire-human-relationship,vampire-human-love,forbidden-love,perversion,interracial-relationship,murder,exorcism,brother-sister-relationship,telepathy,nudity,based-on-novel,grandmother-granddaughter-relationship,gore,cook,female-topless-nudity,caucasian,african-american,blood-coming-out-of-eyes,degeneracy,camp,homosexual-subtext,vito-russo-test-passed,human-vampire-sex,lesbianism,female-female-kiss,lesbian-couple,supernatural-drama,supernatural-fantasy,supernatural-thriller,2000s,2010s,21st-century,female-full-frontal-nudity,scantily-clad-female,steamy-romance,biting,accent,bloody-mess,attack,fast-moving-person,redhead,red-haired-woman,vampire-fangs,vampire-bite,bloody-violence,gay-man,homosexual,black-man,texan-accent,southern-accent,louisiana-accent,gay-kiss,gay-character,gay-man-gay-man-relationship,gay-man-gay-man-friendship,gay-love,gay-romance,gay-friend,bloody,bloodlust,blood-lust,vampiress,male-vampire,vampire-girl,vampire-blood,sex-vampire,vampire-kill,male-werewolf,clothed-male-naked-female-scene,clothed-female-naked-female-scene,werewolf-pack,werewolf-is-the-good-guy,shifter-werewolf-hybrid,loup-garou,werewolf-fight,dark-fantasy,vampire-kills-a-vampire,vampire-murders-a-vampire,female-vampire,villainess,southern-gothic,female-protagonist,psychotronic-series,vampire-driving-a-car,based-on-book,title-spoken-by-character,actor-shares-first-name-with-character"
tt1586680,"poor-family,brother-brother-relationship,gay-relationship,family-relationships,alcoholic-father,dysfunctional-family,gay-brother,female-full-frontal-nudity,irresponsible-father,alcoholic,brother-sister-relationship,gay,gay-teenager,female-nudity,gay-character,boyfriend-girlfriend-relationship,large-family,mental-illness,erotic,dark-comedy,bar,homosexual,drug-addiction,poverty,american-remake,dishonesty,drunken-father,teenage-sex,chicago-illinois,raised-by-one's-sibling,based-on-british-tv-series,absent-mother,working-class-family,cheating-girlfriend,nudity,domestic-violence,sex-talk,interracial-couple,sex-scene,female-frontal-nudity,remake,cheating-wife,degeneracy,gay-marriage,lgbtqi,domestic-drama,2010s,21st-century,gay-son,teenage-rebellion,homelessness,liver-transplant,drug-withdrawal,interracial-relationship,underage-drinking,extended-family,police,older-sister,alcohol-addiction,drug-abuse,drug-use,sibling-rivalry,half-sibling,american-family,melodrama,drugs,infidelity,vito-russo-test-passed,female-rear-nudity"
